Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
496,2023-03-15 08:18:29,276859000,60.1454,24.91119,223.2,9.9,224,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
501,2023-03-15 08:23:29,276859000,60.12514,24.90427,176.8,16.7,177,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
506,2023-03-15 08:28:29,276859000,60.10038,24.90009,185.0,18.3,184,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
509,2023-03-15 08:33:30,276859000,60.07204,24.89791,182.4,22.1,183,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
516,2023-03-15 08:38:29,276859000,60.0411,24.89966,169.7,22.7,171,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
517,2023-03-15 08:43:30,276859000,60.01077,24.89856,183.6,22.3,184,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
523,2023-03-15 08:48:29,276859000,59.97976,24.89123,190.7,22.2,191,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
527,2023-03-15 08:53:30,276859000,59.94953,24.87933,191.6,22.3,192,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
535,2023-03-15 08:58:35,276859000,59.91991,24.85962,200.8,22.3,201,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
541,2023-03-15 09:03:36,276859000,59.89116,24.83786,201.2,22.2,201,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
545,2023-03-15 09:08:37,276859000,59.86312,24.81638,200.9,22.2,201,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
549,2023-03-15 09:13:36,276859000,59.83454,24.79459,201.0,22.1,201,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
554,2023-03-15 09:18:36,276859000,59.80535,24.77239,201.1,22.1,202,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
558,2023-03-15 09:23:36,276859000,59.77735,24.75098,201.3,22.0,201,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
566,2023-03-15 09:28:41,276859000,59.74787,24.72866,200.7,22.0,201,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
571,2023-03-15 09:33:41,276859000,59.71919,24.70795,193.0,22.0,193,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
575,2023-03-15 09:38:42,276859000,59.68989,24.69575,191.6,22.0,192,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
580,2023-03-15 09:43:42,276859000,59.66001,24.68331,191.4,22.1,191,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
584,2023-03-15 09:48:41,276859000,59.62934,24.67062,191.3,22.4,192,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
589,2023-03-15 09:53:42,276859000,59.59912,24.66927,165.4,22.7,166,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
595,2023-03-15 09:58:42,276859000,59.56949,24.69083,158.1,22.5,159,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
598,2023-03-15 10:03:35,276859000,59.54136,24.71183,159.4,22.0,162,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
605,2023-03-15 10:08:46,276859000,59.51151,24.7344,158.8,22.4,161,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
610,2023-03-15 10:13:47,276859000,59.48175,24.75686,158.0,22.6,159,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
614,2023-03-15 10:18:47,276859000,59.45689,24.77598,158.4,15.5,159,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
619,2023-03-15 10:23:45,276859000,59.44553,24.77183,207.8,4.1,212,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
621,2023-03-15 10:28:45,276859000,59.44418,24.7703,216.7,0.1,205,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 10:30,1
626,2023-03-15 10:33:12,276859000,59.44414,24.77026,24.5,0.0,205,5,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 13:30,1
857,2023-03-15 14:24:27,276859000,60.14405,24.90827,216.7,10.8,217,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
862,2023-03-15 14:29:27,276859000,60.12432,24.90467,179.4,15.8,181,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
867,2023-03-15 14:34:27,276859000,60.10138,24.9001,187.5,18.8,188,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
870,2023-03-15 14:39:27,276859000,60.07235,24.892,187.5,22.2,189,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
877,2023-03-15 14:44:30,276859000,60.04122,24.89793,150.0,23.6,150,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
882,2023-03-15 14:49:32,276859000,60.01092,24.90297,190.3,23.3,190,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
887,2023-03-15 14:54:32,276859000,59.9779,24.89122,191.4,23.6,192,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
892,2023-03-15 14:59:33,276859000,59.94655,24.8781,192.1,23.7,193,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
897,2023-03-15 15:04:35,276859000,59.91507,24.85587,200.9,23.5,201,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
901,2023-03-15 15:09:33,276859000,59.88493,24.83285,200.7,23.5,201,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
907,2023-03-15 15:14:35,276859000,59.85442,24.80958,200.8,23.5,201,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
912,2023-03-15 15:19:37,276859000,59.82376,24.78626,201.2,23.6,202,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
916,2023-03-15 15:24:37,276859000,59.79365,24.76338,200.7,23.8,202,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
921,2023-03-15 15:29:38,276859000,59.76219,24.73946,201.2,23.8,202,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
926,2023-03-15 15:34:39,276859000,59.73155,24.71604,201.0,23.7,201,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
931,2023-03-15 15:39:39,276859000,59.69978,24.70042,191.9,23.7,193,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
938,2023-03-15 15:44:40,276859000,59.66739,24.68696,191.9,23.9,193,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
942,2023-03-15 15:49:39,276859000,59.635,24.67363,191.5,24.1,193,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
947,2023-03-15 15:54:43,276859000,59.60153,24.66838,169.0,24.3,169,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
951,2023-03-15 15:59:43,276859000,59.57046,24.69047,158.9,24.3,160,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
956,2023-03-15 16:04:45,276859000,59.53997,24.71331,160.6,22.9,161,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
961,2023-03-15 16:09:45,276859000,59.5097,24.73625,158.8,23.1,160,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
967,2023-03-15 16:14:45,276859000,59.48005,24.7588,157.2,22.9,158,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
970,2023-03-15 16:19:45,276859000,59.45832,24.77614,157.3,12.0,160,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
973,2023-03-15 16:24:41,276859000,59.44772,24.77465,217.7,6.2,220,0,9892690,MYSTAR,ESLR,61,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
977,2023-03-15 16:29:41,276859000,59.44427,24.77038,207.7,0.4,205,0,9892690,MYSTAR,ESLR,60,23,190,18,18,6.9,EEVAN<->FIHEL,03-15 16:30,2
