start,start_time,end,end_time
Tallinn,2023-03-15 05:18:00,Helsinki,2023-03-15 07:33:16
Helsinki,2023-03-15 08:18:29,Tallinn,2023-03-15 10:33:12
Tallinn,2023-03-15 11:18:57,Helsinki,2023-03-15 13:34:17
Helsinki,2023-03-15 14:24:27,Tallinn,2023-03-15 16:34:47
Tallinn,2023-03-15 17:19:47,Helsinki,2023-03-15 19:35:17
Helsinki,2023-03-15 20:20:18,Tallinn,2023-03-15 22:29:39
Tallinn,2023-03-16 05:16:51,Helsinki,2023-03-16 07:32:15
Helsinki,2023-03-16 08:17:25,Tallinn,2023-03-16 10:31:30
Tallinn,2023-03-16 11:22:58,Helsinki,2023-03-16 13:38:11
Helsinki,2023-03-16 14:33:25,Tallinn,2023-03-16 16:38:37
Tallinn,2023-03-16 17:18:51,Helsinki,2023-03-16 19:34:10
Helsinki,2023-03-16 20:19:22,Tallinn,2023-03-16 22:28:39
Tallinn,2023-03-17 05:15:52,Helsinki,2023-03-17 07:31:41
Helsinki,2023-03-17 08:21:52,Tallinn,2023-03-17 10:33:10
Tallinn,2023-03-17 11:18:50,Helsinki,2023-03-17 13:34:15
Helsinki,2023-03-17 14:24:30,Tallinn,2023-03-17 16:29:42
Tallinn,2023-03-17 17:19:54,Helsinki,2023-03-17 19:30:28
Helsinki,2023-03-17 20:15:30,Tallinn,2023-03-17 22:30:55
Tallinn,2023-03-18 05:17:06,Helsinki,2023-03-18 07:37:25
Helsinki,2023-03-18 08:27:41,Tallinn,2023-03-18 10:33:03
Tallinn,2023-03-18 11:18:14,Helsinki,2023-03-18 13:33:00
Helsinki,2023-03-18 14:18:40,Tallinn,2023-03-18 16:33:59
Tallinn,2023-03-18 17:19:08,Helsinki,2023-03-18 19:34:29
Helsinki,2023-03-19 08:16:39,Tallinn,2023-03-19 10:30:46
Tallinn,2023-03-19 11:17:05,Helsinki,2023-03-19 13:32:30
Helsinki,2023-03-19 14:17:38,Tallinn,2023-03-19 16:26:21
Tallinn,2023-03-19 17:18:04,Helsinki,2023-03-19 19:43:25
Helsinki,2023-03-19 20:18:34,Tallinn,2023-03-19 22:28:18
Tallinn,2023-03-20 05:20:08,Helsinki,2023-03-20 07:35:38
Helsinki,2023-03-20 08:20:50,Tallinn,2023-03-20 10:35:44
Tallinn,2023-03-20 11:16:22,Helsinki,2023-03-20 13:31:47
Helsinki,2023-03-20 14:16:55,Tallinn,2023-03-20 16:31:12
Tallinn,2023-03-20 17:17:23,Helsinki,2023-03-20 19:32:53
Helsinki,2023-03-20 20:23:00,Tallinn,2023-03-20 22:33:25
Tallinn,2023-03-21 05:19:36,Helsinki,2023-03-21 07:34:49
Helsinki,2023-03-21 08:15:01,Tallinn,2023-03-21 10:29:58
Tallinn,2023-03-21 11:15:37,Helsinki,2023-03-21 13:31:03
Helsinki,2023-03-21 14:16:14,Tallinn,2023-03-21 16:31:35
Tallinn,2023-03-21 17:16:35,Helsinki,2023-03-21 19:31:59
Helsinki,2023-03-21 20:16:59,Tallinn,2023-03-21 22:32:04
Tallinn,2023-03-22 05:18:31,Helsinki,2023-03-22 07:34:00
Helsinki,2023-03-22 08:19:08,Tallinn,2023-03-22 10:34:23
Tallinn,2023-03-22 11:19:29,Helsinki,2023-03-22 13:34:47
Helsinki,2023-03-22 14:14:47,Tallinn,2023-03-22 16:35:18
Tallinn,2023-03-22 17:15:23,Helsinki,2023-03-22 19:35:50
Helsinki,2023-03-22 20:16:00,Tallinn,2023-03-22 22:31:19
Tallinn,2023-03-23 05:17:25,Helsinki,2023-03-23 07:32:59
Helsinki,2023-03-23 08:18:08,Tallinn,2023-03-23 10:33:33
Tallinn,2023-03-23 11:18:43,Helsinki,2023-03-23 13:34:06
Helsinki,2023-03-23 14:19:16,Tallinn,2023-03-23 16:33:52
Tallinn,2023-03-23 17:15:21,Helsinki,2023-03-23 19:35:44
Helsinki,2023-03-23 20:15:58,Tallinn,2023-03-23 22:31:23
Tallinn,2023-03-24 05:17:35,Helsinki,2023-03-24 07:37:58
Helsinki,2023-03-24 09:08:15,Tallinn,2023-03-24 11:03:34
Tallinn,2023-03-24 11:38:44,Helsinki,2023-03-24 13:39:07
Helsinki,2023-03-24 14:24:18,Tallinn,2023-03-24 16:34:40
Tallinn,2023-03-24 17:19:49,Helsinki,2023-03-24 19:30:09
Helsinki,2023-03-24 20:20:23,Tallinn,2023-03-24 22:30:39
Tallinn,2023-03-25 05:16:57,Helsinki,2023-03-25 07:47:24
Helsinki,2023-03-25 08:22:34,Tallinn,2023-03-25 10:37:52
Tallinn,2023-03-25 11:17:58,Helsinki,2023-03-25 13:33:26
Helsinki,2023-03-25 14:18:33,Tallinn,2023-03-25 16:32:05
Tallinn,2023-03-25 17:19:07,Helsinki,2023-03-25 19:39:29
Helsinki,2023-03-26 07:16:27,Tallinn,2023-03-26 09:31:45
Tallinn,2023-03-26 10:17:01,Helsinki,2023-03-26 12:37:27
Helsinki,2023-03-26 13:17:29,Tallinn,2023-03-26 15:32:54
Tallinn,2023-03-26 16:23:08,Helsinki,2023-03-26 18:38:24
Helsinki,2023-03-26 19:18:35,Tallinn,2023-03-26 21:33:57
Tallinn,2023-03-27 04:15:03,Helsinki,2023-03-27 06:35:30
Helsinki,2023-03-27 07:15:36,Tallinn,2023-03-27 09:31:02
Tallinn,2023-03-27 10:16:12,Helsinki,2023-03-27 12:35:54
Helsinki,2023-03-27 13:16:29,Tallinn,2023-03-27 15:31:58
Tallinn,2023-03-27 16:17:09,Helsinki,2023-03-27 18:32:27
Helsinki,2023-03-27 19:17:42,Tallinn,2023-03-27 21:33:05
Tallinn,2023-03-28 04:19:16,Helsinki,2023-03-28 06:34:02
Helsinki,2023-03-28 07:19:43,Tallinn,2023-03-28 09:30:09
Tallinn,2023-03-28 10:15:20,Helsinki,2023-03-28 12:35:45
Helsinki,2023-03-28 13:15:56,Tallinn,2023-03-28 15:31:20
Tallinn,2023-03-28 16:16:27,Helsinki,2023-03-28 18:36:45
Helsinki,2023-03-28 19:16:52,Tallinn,2023-03-28 21:32:17
Tallinn,2023-03-29 04:18:24,Helsinki,2023-03-29 06:33:43
Helsinki,2023-03-29 07:18:51,Tallinn,2023-03-29 09:34:20
Tallinn,2023-03-29 10:19:23,Helsinki,2023-03-29 12:34:35
Helsinki,2023-03-29 13:19:56,Tallinn,2023-03-29 15:35:15
Tallinn,2023-03-29 16:20:26,Helsinki,2023-03-29 18:35:48
Helsinki,2023-03-29 19:15:55,Tallinn,2023-03-29 21:31:16
Tallinn,2023-03-30 04:17:33,Helsinki,2023-03-30 06:32:58
Helsinki,2023-03-30 07:23:08,Tallinn,2023-03-30 09:33:21
Tallinn,2023-03-30 10:18:40,Helsinki,2023-03-30 12:34:09
Helsinki,2023-03-30 13:14:10,Tallinn,2023-03-30 15:29:33
Tallinn,2023-03-30 16:34:52,Helsinki,2023-03-31 06:36:36
Helsinki,2023-03-31 07:17:33,Tallinn,2023-03-31 09:33:00
Tallinn,2023-03-31 10:18:08,Helsinki,2023-03-31 12:33:30
Helsinki,2023-03-31 13:18:42,Tallinn,2023-03-31 15:29:00
Tallinn,2023-03-31 16:19:14,Helsinki,2023-03-31 18:34:33
Helsinki,2023-03-31 19:19:48,Tallinn,2023-03-31 21:30:00
Tallinn,2023-04-01 04:16:13,Helsinki,2023-04-01 06:36:38
Helsinki,2023-04-01 07:14:41,Tallinn,2023-04-01 09:27:14
Tallinn,2023-04-01 10:17:25,Helsinki,2023-04-01 12:37:38
Helsinki,2023-04-01 13:17:53,Tallinn,2023-04-01 15:28:13
Tallinn,2023-04-01 16:18:19,Helsinki,2023-04-01 18:33:44
Helsinki,2023-04-02 07:20:59,Tallinn,2023-04-02 09:31:28
Tallinn,2023-04-02 10:17:46,Helsinki,2023-04-02 12:36:27
Helsinki,2023-04-02 13:16:34,Tallinn,2023-04-02 15:26:53
Tallinn,2023-04-02 16:17:02,Helsinki,2023-04-02 18:37:20
Helsinki,2023-04-02 19:17:27,Tallinn,2023-04-02 21:27:46
Tallinn,2023-04-03 04:18:58,Helsinki,2023-04-03 06:38:12
