start,start_time,end,end_time
Trelleborg,2023-03-15 05:37:52,Rostock,2023-03-15 14:29:19
Rostock,2023-03-15 15:39:40,Travemunde,2023-03-15 19:10:06
Travemunde,2023-03-15 21:35:35,Trelleborg,2023-03-16 05:57:03
Trelleborg,2023-03-16 08:47:28,Rostock,2023-03-16 14:33:20
Rostock,2023-03-16 15:48:29,Travemunde,2023-03-16 19:09:05
Travemunde,2023-03-16 20:59:28,Trelleborg,2023-03-17 05:55:53
Trelleborg,2023-03-17 09:22:23,Rostock,2023-03-17 14:44:25
Rostock,2023-03-17 16:09:44,Travemunde,2023-03-17 19:25:22
Travemunde,2023-03-17 21:20:44,Trelleborg,2023-03-18 07:02:17
Trelleborg,2023-03-18 21:54:47,Rostock,2023-03-19 06:26:15
Rostock,2023-03-19 10:52:03,Trelleborg,2023-03-19 17:57:58
Trelleborg,2023-03-19 20:43:34,Travemunde,2023-03-20 07:00:32
Travemunde,2023-03-20 20:27:46,Trelleborg,2023-03-21 05:39:38
Trelleborg,2023-03-21 08:40:13,Rostock,2023-03-21 14:29:14
Rostock,2023-03-21 15:16:17,Travemunde,2023-03-21 19:31:57
Travemunde,2023-03-21 21:57:17,Trelleborg,2023-03-22 05:58:39
Trelleborg,2023-03-22 08:34:12,Rostock,2023-03-22 14:24:49
Rostock,2023-03-22 15:30:06,Travemunde,2023-03-22 19:15:44
Travemunde,2023-03-22 21:21:10,Trelleborg,2023-03-23 05:57:23
Trelleborg,2023-03-23 08:38:09,Rostock,2023-03-23 14:19:15
Rostock,2023-03-23 15:40:06,Travemunde,2023-03-23 19:10:45
Travemunde,2023-03-23 20:50:57,Trelleborg,2023-03-24 06:22:48
Trelleborg,2023-03-24 08:53:01,Rostock,2023-03-24 14:24:18
Rostock,2023-03-24 15:24:31,Travemunde,2023-03-24 19:05:07
Travemunde,2023-03-24 21:00:28,Trelleborg,2023-03-25 06:57:17
Trelleborg,2023-03-25 14:08:33,Rostock,2023-03-25 20:04:33
Rostock,2023-03-25 21:39:49,Trelleborg,2023-03-26 03:25:48
Trelleborg,2023-03-26 04:51:07,Swinoujscie,2023-03-26 11:31:22
Swinoujscie,2023-03-26 14:12:42,Trelleborg,2023-03-26 20:13:32
Trelleborg,2023-03-26 21:18:49,Travemunde,2023-03-27 06:05:20
Travemunde,2023-03-27 19:47:42,Trelleborg,2023-03-28 05:19:23
Trelleborg,2023-03-28 07:59:28,Rostock,2023-03-28 13:35:56
Rostock,2023-03-28 14:41:11,Travemunde,2023-03-28 18:11:44
Travemunde,2023-03-28 20:11:57,Trelleborg,2023-03-29 04:58:27
Trelleborg,2023-03-29 08:06:37,Rostock,2023-03-29 13:29:56
Rostock,2023-03-29 14:49:58,Travemunde,2023-03-29 18:20:42
Travemunde,2023-03-29 20:31:03,Trelleborg,2023-03-30 04:57:34
Trelleborg,2023-03-30 07:43:11,Rostock,2023-03-30 13:34:14
Rostock,2023-03-30 14:59:32,Travemunde,2023-03-30 18:25:08
Travemunde,2023-03-30 20:10:36,Trelleborg,2023-03-31 05:01:58
Trelleborg,2023-03-31 08:17:48,Rostock,2023-03-31 13:33:41
