Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
6288,2023-03-19 10:52:03,211833390,54.15421,12.10207,358.2,5.7,355,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6292,2023-03-19 10:57:03,211833390,54.1594,12.10538,12.8,3.4,13,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6298,2023-03-19 11:02:05,211833390,54.16435,12.10226,341.7,4.7,340,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6301,2023-03-19 11:07:04,211833390,54.17295,12.09769,341.7,7.3,341,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6305,2023-03-19 11:11:52,211833390,54.18184,12.09278,341.9,7.0,341,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6310,2023-03-19 11:17:02,211833390,54.19342,12.08607,342.5,12.1,342,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6316,2023-03-19 11:22:06,211833390,54.21415,12.07928,0.4,15.0,359,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6320,2023-03-19 11:27:06,211833390,54.2351,12.07953,359.9,15.0,359,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6327,2023-03-19 11:32:07,211833390,54.25589,12.07952,3.3,14.8,3,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6332,2023-03-19 11:37:07,211833390,54.27471,12.08434,10.8,11.7,11,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6336,2023-03-19 11:42:07,211833390,54.29047,12.08981,12.2,11.8,13,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6340,2023-03-19 11:47:07,211833390,54.30681,12.09584,12.5,12.1,13,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6345,2023-03-19 11:52:06,211833390,54.32251,12.10608,24.2,12.2,24,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6350,2023-03-19 11:57:06,211833390,54.3381,12.11814,24.4,12.3,24,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6355,2023-03-19 12:02:07,211833390,54.35376,12.13039,24.7,12.4,25,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6360,2023-03-19 12:07:07,211833390,54.36941,12.14277,24.6,12.3,24,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6365,2023-03-19 12:12:08,211833390,54.38499,12.15494,24.6,12.3,25,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6372,2023-03-19 12:17:17,211833390,54.39971,12.17113,36.0,12.3,35,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6377,2023-03-19 12:22:17,211833390,54.41357,12.18831,35.8,12.3,35,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6382,2023-03-19 12:27:17,211833390,54.42762,12.20577,36.3,12.5,35,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6385,2023-03-19 12:32:06,211833390,54.44126,12.22276,35.9,12.6,35,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6390,2023-03-19 12:37:07,211833390,54.45575,12.23887,23.4,12.4,22,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6395,2023-03-19 12:41:57,211833390,54.4716,12.24814,18.1,12.6,17,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6400,2023-03-19 12:47:07,211833390,54.48876,12.25756,17.8,12.5,17,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6405,2023-03-19 12:52:07,211833390,54.50527,12.2665,17.4,12.7,18,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6410,2023-03-19 12:57:17,211833390,54.52214,12.27807,26.2,12.4,26,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6416,2023-03-19 13:02:18,211833390,54.53749,12.29104,26.7,12.3,26,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6420,2023-03-19 13:07:08,211833390,54.55246,12.30379,26.4,12.4,27,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6428,2023-03-19 13:12:26,211833390,54.56884,12.31783,26.8,12.3,28,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6430,2023-03-19 13:17:26,211833390,54.58417,12.33099,26.5,12.3,27,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6436,2023-03-19 13:22:27,211833390,54.59951,12.34416,26.5,12.3,27,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6442,2023-03-19 13:27:29,211833390,54.61501,12.35741,25.6,12.4,26,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6445,2023-03-19 13:32:16,211833390,54.62986,12.37017,26.7,12.4,28,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6451,2023-03-19 13:37:27,211833390,54.64585,12.38391,26.4,12.4,27,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6456,2023-03-19 13:42:26,211833390,54.66103,12.39764,28.9,12.4,30,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6460,2023-03-19 13:47:27,211833390,54.67612,12.41203,28.8,12.4,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6465,2023-03-19 13:52:28,211833390,54.69129,12.42648,29.1,12.4,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6470,2023-03-19 13:57:27,211833390,54.70642,12.44094,29.1,12.4,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6475,2023-03-19 14:02:27,211833390,54.72154,12.45536,29.0,12.4,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6482,2023-03-19 14:07:38,211833390,54.73724,12.47043,28.9,12.5,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6486,2023-03-19 14:12:37,211833390,54.75239,12.48495,29.0,12.5,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6491,2023-03-19 14:17:37,211833390,54.76776,12.49961,29.0,12.6,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6498,2023-03-19 14:22:37,211833390,54.78304,12.51427,29.0,12.6,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6502,2023-03-19 14:27:37,211833390,54.79838,12.52897,28.9,12.6,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6504,2023-03-19 14:29:58,211833390,54.8056,12.53585,28.9,12.6,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6509,2023-03-19 14:34:39,211833390,54.81983,12.54959,28.7,12.5,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6518,2023-03-19 14:44:47,211833390,54.8505,12.579,29.0,12.1,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6527,2023-03-19 14:54:53,211833390,54.87984,12.60713,28.9,12.0,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6528,2023-03-19 14:56:36,211833390,54.88523,12.61228,29.0,12.1,29,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6537,2023-03-19 15:04:59,211833390,54.91043,12.63647,29.2,12.3,30,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
6546,2023-03-19 15:15:07,211833390,54.94068,12.66438,24.3,12.1,26,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.1,SE TRG,03-19 18:00,1
