Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
16277,2023-03-26 14:12:42,211833390,53.90578,14.26257,55.8,8.9,55,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16283,2023-03-26 14:21:02,211833390,53.92298,14.28252,358.8,10.5,356,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16291,2023-03-26 14:27:46,211833390,53.9451,14.27201,351.4,15.6,350,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16295,2023-03-26 14:32:46,211833390,53.96783,14.266,350.2,17.0,348,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16298,2023-03-26 14:36:40,211833390,53.98591,14.25953,341.9,17.1,340,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16304,2023-03-26 14:42:45,211833390,54.01024,14.23823,332.4,15.8,331,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16308,2023-03-26 14:47:46,211833390,54.0312,14.2259,342.1,16.6,341,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16313,2023-03-26 14:52:46,211833390,54.05338,14.21381,342.5,16.9,341,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16319,2023-03-26 14:57:52,211833390,54.07642,14.20148,342.7,17.2,340,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16323,2023-03-26 15:02:45,211833390,54.09843,14.18981,342.9,17.1,340,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16327,2023-03-26 15:07:45,211833390,54.12099,14.17791,342.1,17.0,340,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16332,2023-03-26 15:12:52,211833390,54.14384,14.16444,341.3,17.2,339,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16339,2023-03-26 15:17:57,211833390,54.16673,14.15107,341.2,17.0,339,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
16344,2023-03-26 15:22:58,211833390,54.18831,14.13636,337.3,16.6,335,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SE TRE,03-26 20:00,1
