Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
332,2023-03-15 05:37:52,211833390,55.33476,13.13529,24.7,13.8,22,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SETRG,03-15 06:00,1
338,2023-03-15 05:43:03,211833390,55.35228,13.14528,15.3,10.7,12,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SETRG,03-15 06:00,1
343,2023-03-15 05:48:02,211833390,55.36351,13.15178,40.3,6.2,38,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SETRG,03-15 06:00,1
348,2023-03-15 05:53:02,211833390,55.36648,13.1572,33.4,1.1,49,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SETRG,03-15 06:00,1
354,2023-03-15 05:58:03,211833390,55.36699,13.15774,40.9,0.0,43,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SETRG,03-15 06:00,1
358,2023-03-15 06:03:02,211833390,55.36705,13.15782,36.3,0.0,43,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,SETRG,03-15 06:00,1
362,2023-03-15 06:07:02,211833390,55.36704,13.15781,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
367,2023-03-15 06:12:24,211833390,55.36705,13.1578,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
372,2023-03-15 06:15:22,211833390,55.36703,13.1578,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
377,2023-03-15 06:21:21,211833390,55.36702,13.15781,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
383,2023-03-15 06:27:23,211833390,55.36704,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
387,2023-03-15 06:30:22,211833390,55.36703,13.15783,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
392,2023-03-15 06:36:21,211833390,55.36701,13.15783,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
397,2023-03-15 06:42:24,211833390,55.36702,13.15784,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
402,2023-03-15 06:45:22,211833390,55.36703,13.15784,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
407,2023-03-15 06:51:21,211833390,55.36703,13.15783,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
412,2023-03-15 06:57:19,211833390,55.36702,13.15783,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
417,2023-03-15 07:00:26,211833390,55.36702,13.1578,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
422,2023-03-15 07:06:24,211833390,55.36704,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
427,2023-03-15 07:12:23,211833390,55.36702,13.15783,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
435,2023-03-15 07:18:22,211833390,55.36704,13.15783,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
437,2023-03-15 07:21:24,211833390,55.36704,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
442,2023-03-15 07:27:24,211833390,55.36704,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
447,2023-03-15 07:30:24,211833390,55.36704,13.15781,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
453,2023-03-15 07:36:23,211833390,55.36705,13.15785,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
458,2023-03-15 07:42:23,211833390,55.36704,13.15783,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
462,2023-03-15 07:45:24,211833390,55.36704,13.15784,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
468,2023-03-15 07:51:25,211833390,55.36705,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
473,2023-03-15 07:57:23,211833390,55.36704,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
480,2023-03-15 08:03:22,211833390,55.36703,13.15783,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
483,2023-03-15 08:06:23,211833390,55.36703,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
487,2023-03-15 08:12:24,211833390,55.36704,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
493,2023-03-15 08:18:23,211833390,55.36703,13.15782,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
497,2023-03-15 08:21:23,211833390,55.36704,13.15781,36.3,0.0,43,5,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
503,2023-03-15 08:28:21,211833390,55.36704,13.15781,36.3,0.0,43,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
507,2023-03-15 08:33:21,211833390,55.36703,13.15782,36.3,0.0,43,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
513,2023-03-15 08:38:21,211833390,55.36653,13.15733,215.6,2.0,47,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.7,DERSK,03-15 14:30,1
