Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
15744,2023-03-26 04:51:07,211833390,55.36524,13.15597,206.1,3.3,54,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15750,2023-03-26 04:56:08,211833390,55.36345,13.15208,242.1,1.0,193,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15752,2023-03-26 05:00:55,211833390,55.35527,13.14638,194.5,11.7,196,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15756,2023-03-26 05:06:00,211833390,55.33723,13.13836,186.4,14.5,187,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15761,2023-03-26 05:11:00,211833390,55.3173,13.14682,158.8,15.3,160,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15765,2023-03-26 05:16:06,211833390,55.29732,13.16083,158.6,15.5,159,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15770,2023-03-26 05:21:06,211833390,55.27715,13.17461,159.0,15.7,160,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15774,2023-03-26 05:26:00,211833390,55.2574,13.18869,156.4,15.6,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15779,2023-03-26 05:30:55,211833390,55.23789,13.20373,156.1,15.6,156,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15783,2023-03-26 05:36:00,211833390,55.21717,13.22006,153.1,16.9,153,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15789,2023-03-26 05:41:12,211833390,55.19476,13.23775,156.6,16.7,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15792,2023-03-26 05:46:00,211833390,55.17416,13.2531,157.0,16.9,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15798,2023-03-26 05:50:24,211833390,55.15528,13.2669,157.2,16.7,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15803,2023-03-26 05:55:42,211833390,55.1325,13.28364,157.0,16.7,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15808,2023-03-26 06:01:06,211833390,55.10938,13.30056,157.2,16.5,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15812,2023-03-26 06:02:25,211833390,55.10388,13.30453,157.5,16.4,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15817,2023-03-26 06:07:39,211833390,55.08167,13.3208,157.3,17.0,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15823,2023-03-26 06:15:02,211833390,55.04949,13.3445,157.7,16.9,159,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15827,2023-03-26 06:17:44,211833390,55.03776,13.35296,157.5,16.9,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15828,2023-03-26 06:20:08,211833390,55.02737,13.36055,157.1,16.9,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15837,2023-03-26 06:27:51,211833390,54.99428,13.38474,157.4,16.7,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15839,2023-03-26 06:30:31,211833390,54.98273,13.39319,157.1,16.7,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15847,2023-03-26 06:40:07,211833390,54.9417,13.42297,159.6,16.6,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15853,2023-03-26 06:45:30,211833390,54.91827,13.43782,159.9,16.7,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15857,2023-03-26 06:48:20,211833390,54.90609,13.44611,158.3,16.7,160,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15864,2023-03-26 06:56:30,211833390,54.87103,13.47166,157.4,16.7,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15868,2023-03-26 07:01:24,211833390,54.85003,13.48692,157.1,16.7,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15874,2023-03-26 07:06:31,211833390,54.82823,13.50282,157.4,16.7,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15877,2023-03-26 07:11:12,211833390,54.80807,13.51747,157.5,16.7,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15886,2023-03-26 07:16:31,211833390,54.78535,13.53406,157.0,16.7,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15888,2023-03-26 07:21:24,211833390,54.76427,13.54936,157.3,16.8,158,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15893,2023-03-26 07:26:18,211833390,54.74401,13.56743,151.3,16.8,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15900,2023-03-26 07:31:36,211833390,54.72254,13.58785,150.3,16.6,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15903,2023-03-26 07:36:30,211833390,54.70276,13.60665,151.3,16.6,153,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15908,2023-03-26 07:41:25,211833390,54.68287,13.62542,151.5,16.6,153,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15913,2023-03-26 07:46:30,211833390,54.66216,13.6449,151.4,16.6,152,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15921,2023-03-26 07:51:36,211833390,54.64145,13.66438,151.4,16.6,152,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15924,2023-03-26 07:56:31,211833390,54.62149,13.68321,151.4,16.7,152,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15928,2023-03-26 08:01:24,211833390,54.60168,13.70195,151.3,16.7,152,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15933,2023-03-26 08:06:30,211833390,54.58102,13.72141,151.1,16.6,152,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15938,2023-03-26 08:11:06,211833390,54.56234,13.73893,151.6,16.7,152,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15945,2023-03-26 08:16:42,211833390,54.53964,13.76029,151.4,16.5,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15950,2023-03-26 08:21:42,211833390,54.5198,13.77894,151.0,16.0,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15956,2023-03-26 08:26:42,211833390,54.50038,13.79719,151.1,15.9,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15958,2023-03-26 08:31:42,211833390,54.48101,13.81542,151.2,15.8,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15963,2023-03-26 08:36:42,211833390,54.46166,13.83366,151.1,15.9,152,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15969,2023-03-26 08:41:41,211833390,54.44233,13.85181,151.3,15.8,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15973,2023-03-26 08:46:42,211833390,54.42298,13.86996,151.4,15.8,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15980,2023-03-26 08:51:48,211833390,54.40328,13.88844,151.2,15.9,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15985,2023-03-26 08:56:48,211833390,54.38406,13.90644,151.4,15.7,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15990,2023-03-26 09:01:48,211833390,54.36474,13.9246,151.3,15.9,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15995,2023-03-26 09:06:48,211833390,54.34579,13.94408,147.9,16.0,148,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
15998,2023-03-26 09:11:48,211833390,54.32695,13.96421,148.3,15.8,148,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16004,2023-03-26 09:16:48,211833390,54.30965,13.98746,138.0,15.8,137,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16008,2023-03-26 09:21:48,211833390,54.29324,14.01273,139.1,15.7,139,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16015,2023-03-26 09:26:54,211833390,54.27672,14.03761,138.9,15.6,138,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16020,2023-03-26 09:31:54,211833390,54.26045,14.06173,139.2,15.5,139,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16026,2023-03-26 09:36:54,211833390,54.2441,14.08586,139.3,15.6,139,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16029,2023-03-26 09:41:36,211833390,54.22882,14.10843,139.0,15.0,138,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16032,2023-03-26 09:43:48,211833390,54.22197,14.11805,145.5,14.1,146,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16039,2023-03-26 09:51:42,211833390,54.19312,14.13757,161.4,14.1,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16046,2023-03-26 10:01:24,211833390,54.15682,14.1584,161.4,14.1,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16051,2023-03-26 10:04:18,211833390,54.14605,14.16454,161.3,14.2,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16057,2023-03-26 10:11:18,211833390,54.11998,14.17936,161.1,14.1,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16061,2023-03-26 10:16:42,211833390,54.09994,14.19073,161.6,14.0,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16070,2023-03-26 10:22:02,211833390,54.08031,14.2019,161.4,13.9,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16073,2023-03-26 10:26:44,211833390,54.06308,14.21167,161.4,13.9,161,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16079,2023-03-26 10:32:03,211833390,54.04356,14.22268,161.7,14.0,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16082,2023-03-26 10:36:56,211833390,54.02512,14.2331,161.4,14.8,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16086,2023-03-26 10:39:14,211833390,54.01604,14.23831,161.5,14.9,162,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16094,2023-03-26 10:47:04,211833390,53.98244,14.25615,163.6,15.6,163,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16100,2023-03-26 10:54:37,211833390,53.95787,14.26598,165.7,11.1,165,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16109,2023-03-26 11:04:11,211833390,53.931,14.27558,158.4,9.2,156,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16114,2023-03-26 11:07:48,211833390,53.92216,14.28182,179.9,9.5,184,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16125,2023-03-26 11:22:00,211833390,53.898,14.25437,170.8,3.1,171,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
16132,2023-03-26 11:31:22,211833390,53.89619,14.25595,3.9,0.0,180,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,5.8,PL SWI,03-26 11:30,1
36797,2023-04-10 04:33:59,211833390,55.36633,13.15694,218.9,2.5,41,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36800,2023-04-10 04:38:56,211833390,55.36364,13.15166,215.3,2.7,191,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36806,2023-04-10 04:43:59,211833390,55.35055,13.14432,195.8,13.6,193,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36813,2023-04-10 04:49:02,211833390,55.33139,13.14766,149.3,15.0,145,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36816,2023-04-10 04:54:01,211833390,55.31278,13.16606,152.7,16.0,149,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36822,2023-04-10 04:59:01,211833390,55.29286,13.18384,153.3,15.8,149,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36827,2023-04-10 05:04:01,211833390,55.27369,13.20084,152.8,15.3,149,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36830,2023-04-10 05:08:55,211833390,55.25417,13.2136,164.2,15.4,160,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36835,2023-04-10 05:13:55,211833390,55.23362,13.22372,164.5,15.4,160,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36841,2023-04-10 05:19:01,211833390,55.21254,13.23409,163.9,15.5,159,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36845,2023-04-10 05:24:07,211833390,55.19196,13.24689,158.4,15.4,155,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36850,2023-04-10 05:29:02,211833390,55.17227,13.26062,158.1,15.6,155,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36855,2023-04-10 05:34:01,211833390,55.15223,13.27512,157.1,15.6,155,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36860,2023-04-10 05:39:07,211833390,55.13195,13.29005,157.0,15.6,154,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36868,2023-04-10 05:44:14,211833390,55.11163,13.30505,156.8,15.4,155,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36872,2023-04-10 05:49:13,211833390,55.09188,13.31924,159.1,15.3,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36874,2023-04-10 05:53:19,211833390,55.07555,13.33019,159.0,15.4,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36880,2023-04-10 05:59:01,211833390,55.05278,13.34546,159.1,15.4,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36885,2023-04-10 06:04:07,211833390,55.03235,13.35897,159.2,15.5,156,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36890,2023-04-10 06:08:31,211833390,55.01475,13.37073,159.0,15.3,157,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36895,2023-04-10 06:14:13,211833390,54.9929,13.38581,157.8,14.1,154,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36900,2023-04-10 06:19:01,211833390,54.97563,13.39786,158.4,13.8,155,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36905,2023-04-10 06:23:30,211833390,54.95934,13.40803,163.6,13.8,160,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36910,2023-04-10 06:29:11,211833390,54.93619,13.41455,172.8,16.3,169,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36915,2023-04-10 06:33:59,211833390,54.91428,13.41954,172.4,16.6,170,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36921,2023-04-10 06:38:54,211833390,54.89297,13.42904,153.6,16.0,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36924,2023-04-10 06:44:17,211833390,54.87151,13.44825,152.6,16.1,150,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36931,2023-04-10 06:49:17,211833390,54.8516,13.466,153.0,16.0,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36936,2023-04-10 06:53:59,211833390,54.83303,13.48236,153.5,15.9,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36939,2023-04-10 06:59:12,211833390,54.8124,13.49999,154.1,15.8,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36946,2023-04-10 07:04:29,211833390,54.79163,13.51756,154.0,15.8,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36951,2023-04-10 07:09:23,211833390,54.77301,13.53606,148.7,15.8,146,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36954,2023-04-10 07:14:18,211833390,54.75395,13.55343,155.8,15.8,152,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36960,2023-04-10 07:19:23,211833390,54.73385,13.56991,152.7,15.6,149,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36965,2023-04-10 07:24:29,211833390,54.71417,13.58727,153.0,15.5,150,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36972,2023-04-10 07:29:35,211833390,54.69541,13.60682,147.5,15.4,145,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36975,2023-04-10 07:34:29,211833390,54.67744,13.6268,147.1,15.7,145,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36980,2023-04-10 07:39:23,211833390,54.65953,13.64689,147.0,15.8,144,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36984,2023-04-10 07:44:18,211833390,54.64144,13.66728,146.8,15.9,145,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36990,2023-04-10 07:49:35,211833390,54.62178,13.6887,152.5,15.7,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36996,2023-04-10 07:54:33,211833390,54.60275,13.70561,152.5,15.7,150,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
36999,2023-04-10 07:59:11,211833390,54.58454,13.72184,152.0,15.7,150,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37005,2023-04-10 08:03:17,211833390,54.56878,13.73603,152.2,15.7,150,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37013,2023-04-10 08:09:47,211833390,54.54357,13.75882,152.4,15.8,151,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37018,2023-04-10 08:14:47,211833390,54.52385,13.77547,154.4,15.8,153,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37023,2023-04-10 08:19:47,211833390,54.50395,13.79162,155.5,15.8,154,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37026,2023-04-10 08:24:47,211833390,54.48408,13.80719,155.5,15.7,153,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37031,2023-04-10 08:29:47,211833390,54.46428,13.82252,155.6,15.6,154,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37038,2023-04-10 08:34:54,211833390,54.44405,13.83836,155.5,15.5,154,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37042,2023-04-10 08:39:54,211833390,54.42464,13.85491,151.3,15.6,150,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37047,2023-04-10 08:44:53,211833390,54.40592,13.87357,148.0,15.6,146,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37052,2023-04-10 08:49:53,211833390,54.38754,13.89319,148.2,15.5,147,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37057,2023-04-10 08:54:53,211833390,54.36912,13.91264,148.2,15.7,147,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37060,2023-04-10 08:59:54,211833390,54.35045,13.93235,148.2,15.7,146,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37068,2023-04-10 09:04:59,211833390,54.33281,13.95471,140.0,14.8,139,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37072,2023-04-10 09:09:59,211833390,54.3187,13.9787,133.6,14.1,133,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
37078,2023-04-10 09:14:59,211833390,54.30517,14.00412,131.7,14.6,131,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,PLSWI,04-10 12:00,2
