Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
736,2023-03-15 12:24:01,230041000,60.09204,19.92705,189.4,1.9,175,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
740,2023-03-15 12:29:00,230041000,60.08208,19.92771,183.3,11.1,186,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
747,2023-03-15 12:34:07,230041000,60.06505,19.91513,218.3,15.4,219,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
749,2023-03-15 12:38:56,230041000,60.04461,19.89238,202.5,19.2,203,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
756,2023-03-15 12:44:04,230041000,60.0232,19.85972,223.0,20.3,225,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
762,2023-03-15 12:49:10,230041000,60.0024,19.81945,224.3,20.6,226,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
766,2023-03-15 12:54:08,230041000,59.98155,19.77934,223.9,20.5,225,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
772,2023-03-15 12:59:14,230041000,59.96118,19.73987,224.1,20.6,225,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
777,2023-03-15 13:04:14,230041000,59.94005,19.69934,223.7,20.9,225,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
782,2023-03-15 13:09:13,230041000,59.91918,19.65948,224.0,21.0,226,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
787,2023-03-15 13:14:14,230041000,59.89827,19.61922,224.1,20.9,226,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
791,2023-03-15 13:19:14,230041000,59.8775,19.57912,224.2,21.0,226,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
795,2023-03-15 13:24:14,230041000,59.85673,19.53905,224.0,20.8,225,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
801,2023-03-15 13:29:14,230041000,59.83599,19.49925,224.3,20.8,225,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
805,2023-03-15 13:34:13,230041000,59.8153,19.45956,223.3,20.8,225,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
811,2023-03-15 13:39:14,230041000,59.79493,19.4206,224.3,20.8,225,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
816,2023-03-15 13:44:19,230041000,59.7767,19.37428,234.5,20.5,235,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
820,2023-03-15 13:49:19,230041000,59.76006,19.32857,238.2,20.7,240,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
827,2023-03-15 13:54:20,230041000,59.74963,19.27591,251.0,20.6,251,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
832,2023-03-15 13:59:20,230041000,59.73989,19.223,243.7,20.7,243,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
837,2023-03-15 14:04:20,230041000,59.72892,19.17152,255.8,20.4,256,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
842,2023-03-15 14:09:25,230041000,59.72155,19.11744,253.0,20.5,253,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
847,2023-03-15 14:14:25,230041000,59.70859,19.06801,240.1,18.2,240,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
852,2023-03-15 14:19:26,230041000,59.69655,19.02687,240.1,17.7,241,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
856,2023-03-15 14:24:27,230041000,59.68334,18.98191,238.0,19.9,238,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
861,2023-03-15 14:29:26,230041000,59.66872,18.94599,229.5,11.7,231,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
866,2023-03-15 14:34:23,230041000,59.6604,18.92579,232.2,8.6,233,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
872,2023-03-15 14:39:29,230041000,59.65251,18.90864,228.2,8.4,232,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
875,2023-03-15 14:44:25,230041000,59.64473,18.88974,235.6,10.2,238,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
881,2023-03-15 14:49:32,230041000,59.6351,18.86411,229.5,12.3,231,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
886,2023-03-15 14:54:32,230041000,59.62139,18.83183,230.7,16.3,231,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
891,2023-03-15 14:59:32,230041000,59.60848,18.79501,236.7,16.6,237,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
894,2023-03-15 15:04:32,230041000,59.59609,18.75824,228.9,16.6,228,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
902,2023-03-15 15:09:34,230041000,59.58164,18.72428,255.3,16.0,257,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
904,2023-03-15 15:14:30,230041000,59.57595,18.68306,242.3,16.1,242,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
911,2023-03-15 15:19:33,230041000,59.5661,18.64614,242.6,11.9,243,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
