Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
315,2023-03-15 05:17:59,230041000,60.42769,22.1924,52.7,8.8,54,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 05:35,1
318,2023-03-15 05:22:55,230041000,60.43375,22.21108,69.5,6.6,69,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
325,2023-03-15 05:27:59,230041000,60.43452,22.21535,129.5,3.7,301,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
331,2023-03-15 05:33:04,230041000,60.43374,22.21888,54.6,0.2,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
334,2023-03-15 05:38:03,230041000,60.43373,22.21891,270.3,0.0,287,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
339,2023-03-15 05:43:03,230041000,60.43373,22.21891,264.0,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
345,2023-03-15 05:48:04,230041000,60.43373,22.21892,26.7,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
350,2023-03-15 05:53:04,230041000,60.43375,22.21891,287.7,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
355,2023-03-15 05:58:03,230041000,60.43376,22.21891,287.8,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
361,2023-03-15 06:03:10,230041000,60.43373,22.21893,287.8,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
364,2023-03-15 06:08:09,230041000,60.43375,22.21891,210.2,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
369,2023-03-15 06:13:11,230041000,60.43375,22.21891,286.5,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
375,2023-03-15 06:18:11,230041000,60.43375,22.21893,287.7,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
381,2023-03-15 06:23:14,230041000,60.43374,22.21891,287.6,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
386,2023-03-15 06:28:15,230041000,60.43374,22.21891,287.5,0.0,288,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
391,2023-03-15 06:33:14,230041000,60.43374,22.21891,245.9,0.0,287,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,FITKU-FIMHQ-SESTO,02-15 17:55,1
