Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
147058,2023-06-27 08:05:12,211833390,53.93982,10.86262,17.5,0.4,28,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147063,2023-06-27 08:10:13,211833390,53.94483,10.86208,344.7,6.8,341,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147068,2023-06-27 08:15:14,211833390,53.95425,10.86729,49.8,7.5,48,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147072,2023-06-27 08:20:13,211833390,53.95932,10.88208,71.1,7.6,71,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147077,2023-06-27 08:25:13,211833390,53.96695,10.89855,36.2,12.5,34,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147084,2023-06-27 08:30:19,211833390,53.98454,10.92349,55.3,19.2,55,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147087,2023-06-27 08:35:19,211833390,54.00023,10.9632,56.0,21.2,54,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147093,2023-06-27 08:40:19,211833390,54.01678,11.00516,56.2,21.5,55,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147099,2023-06-27 08:45:20,211833390,54.03328,11.04827,57.0,21.8,55,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147102,2023-06-27 08:50:20,211833390,54.04988,11.092,57.0,22.1,55,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147110,2023-06-27 08:55:26,211833390,54.06654,11.13656,58.7,21.8,57,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147113,2023-06-27 09:00:25,211833390,54.08208,11.18046,58.9,21.7,58,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147119,2023-06-27 09:05:26,211833390,54.09728,11.22566,60.9,22.0,59,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147122,2023-06-27 09:10:20,211833390,54.11224,11.2688,56.2,21.5,54,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147128,2023-06-27 09:15:25,211833390,54.12904,11.31131,56.0,21.4,55,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147135,2023-06-27 09:20:32,211833390,54.14439,11.35609,65.9,21.7,64,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147140,2023-06-27 09:25:31,211833390,54.15664,11.40287,67.0,21.7,66,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147145,2023-06-27 09:30:32,211833390,54.16833,11.45015,67.8,21.6,67,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147150,2023-06-27 09:35:31,211833390,54.17965,11.49724,67.8,21.5,67,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147153,2023-06-27 09:40:31,211833390,54.19083,11.5441,67.9,21.5,67,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147158,2023-06-27 09:45:31,211833390,54.2022,11.59149,67.5,21.4,66,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147163,2023-06-27 09:50:31,211833390,54.21086,11.64059,78.9,21.9,77,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147168,2023-06-27 09:55:31,211833390,54.21665,11.69164,79.4,21.9,77,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147171,2023-06-27 10:00:21,211833390,54.22192,11.74084,79.6,21.8,78,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147179,2023-06-27 10:05:38,211833390,54.2279,11.79462,79.6,21.7,77,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147184,2023-06-27 10:10:37,211833390,54.23335,11.84441,79.6,21.2,78,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147189,2023-06-27 10:15:38,211833390,54.23869,11.89377,81.1,20.8,79,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147193,2023-06-27 10:20:38,211833390,54.2422,11.9425,83.8,20.5,82,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147196,2023-06-27 10:25:37,211833390,54.24306,11.99077,98.8,20.4,98,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147202,2023-06-27 10:30:38,211833390,54.22907,12.0307,128.4,19.3,128,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147209,2023-06-27 10:35:44,211833390,54.21757,12.07143,141.3,15.9,143,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147214,2023-06-27 10:40:44,211833390,54.19939,12.08183,162.4,12.3,164,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147216,2023-06-27 10:45:45,211833390,54.18816,12.08855,159.5,6.4,167,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147223,2023-06-27 10:50:45,211833390,54.17904,12.09336,161.6,6.7,163,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147227,2023-06-27 10:55:45,211833390,54.17021,12.09833,160.5,6.8,163,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147231,2023-06-27 11:00:48,211833390,54.16107,12.10303,178.9,6.4,184,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147237,2023-06-27 11:05:45,211833390,54.15558,12.1004,200.0,2.2,221,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147243,2023-06-27 11:10:52,211833390,54.15539,12.10096,110.5,1.0,344,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147247,2023-06-27 11:15:46,211833390,54.15206,12.10223,197.3,2.1,357,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
147251,2023-06-27 11:20:46,211833390,54.15097,12.10169,167.3,0.0,352,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DE RSK,06-27 11:15,1
148442,2023-06-28 07:23:59,211833390,53.94038,10.8635,27.9,3.2,27,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148447,2023-06-28 07:29:01,211833390,53.94794,10.8616,0.8,7.9,358,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148452,2023-06-28 07:34:01,211833390,53.95608,10.87134,51.8,7.3,49,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148458,2023-06-28 07:39:03,211833390,53.96049,10.88755,61.4,7.6,60,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148462,2023-06-28 07:44:01,211833390,53.97103,10.90387,36.2,13.6,34,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148468,2023-06-28 07:49:06,211833390,53.98755,10.92812,54.3,16.8,54,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148473,2023-06-28 07:54:06,211833390,54.00142,10.96227,55.7,17.9,53,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148477,2023-06-28 07:59:06,211833390,54.01447,10.99893,58.6,18.3,57,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148481,2023-06-28 08:04:06,211833390,54.02766,11.03557,58.4,18.2,57,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148486,2023-06-28 08:09:06,211833390,54.04092,11.07219,58.7,18.4,57,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148490,2023-06-28 08:14:00,211833390,54.05449,11.1079,56.7,18.3,55,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
148497,2023-06-28 08:19:12,211833390,54.06917,11.14563,56.7,18.3,54,0,9865685,NILS HOLGERSSON,DKLZ2,70,49,180,24,7,6.0,DERSK,06-28 11:15,2
