Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
1153,2023-03-15 19:25:11,230041000,59.31754,18.10095,92.3,6.7,92,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,SESTO>FILAN>FITKU,02-16 05:35,1
1158,2023-03-15 19:30:10,230041000,59.319,18.12342,80.2,8.8,80,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,SESTO>FILAN>FITKU,02-16 05:35,1
1163,2023-03-15 19:35:10,230041000,59.31911,18.14681,94.2,9.0,95,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,SESTO>FILAN>FITKU,02-16 05:35,1
1169,2023-03-15 19:40:18,230041000,59.32522,18.17901,60.5,15.7,60,0,9827877,VIKING GLORY,OJTC,60,25,198,18,18,6.6,SESTO>FILAN>FITKU,02-16 05:35,1
1175,2023-03-15 19:45:17,230041000,59.33865,18.21237,51.2,15.6,50,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1179,2023-03-15 19:50:18,230041000,59.35314,18.24444,46.9,15.8,46,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1184,2023-03-15 19:55:18,230041000,59.36341,18.28136,71.4,15.8,71,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1189,2023-03-15 20:00:17,230041000,59.36844,18.32098,96.2,13.3,99,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1193,2023-03-15 20:05:16,230041000,59.36521,18.35304,100.7,10.2,100,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1198,2023-03-15 20:10:15,230041000,59.36366,18.37691,89.3,8.2,89,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1203,2023-03-15 20:15:15,230041000,59.36223,18.39977,106.3,8.8,107,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1208,2023-03-15 20:20:15,230041000,59.35746,18.42347,109.9,12.5,109,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1215,2023-03-15 20:25:22,230041000,59.36905,18.44796,356.0,15.9,353,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1219,2023-03-15 20:30:22,230041000,59.38846,18.44584,0.6,10.8,0,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1223,2023-03-15 20:35:21,230041000,59.40033,18.43685,316.1,9.6,315,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1229,2023-03-15 20:40:27,230041000,59.41515,18.41067,319.5,16.9,319,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,FITKU-FIMHQ-SESTO,,1
1234,2023-03-15 20:45:27,230041000,59.43475,18.38828,13.1,16.0,16,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,SESTO>FILAN>FITKU,,1
1240,2023-03-15 20:50:28,230041000,59.44728,18.42308,45.2,16.7,42,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,SESTO>FILAN>FITKU,,1
1244,2023-03-15 20:55:28,230041000,59.46929,18.43605,13.9,16.6,14,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,SESTO>FILAN>FITKU,,1
1249,2023-03-15 21:00:28,230041000,59.48629,18.45172,33.1,10.5,33,0,9827877,VIKING GLORY,OJTC,60,0,223,18,18,6.0,SESTO>FILAN>FITKU,,1
