start,start_time,end,end_time
Turku,2023-03-15 05:17:59,Mariehamn,2023-03-15 12:08:51
Mariehamn,2023-03-15 12:24:01,Stockholm,2023-03-15 18:00:00
Stockholm,2023-03-15 19:25:11,Turku,2023-03-16 05:36:54
Turku,2023-03-16 06:47:04,Mariehamn,2023-03-16 12:17:55
Mariehamn,2023-03-16 12:32:55,Stockholm,2023-03-16 17:58:54
Stockholm,2023-03-16 19:19:03,Turku,2023-03-17 05:40:58
Turku,2023-03-17 06:46:04,Mariehamn,2023-03-17 12:08:51
Mariehamn,2023-03-17 12:24:00,Stockholm,2023-03-17 17:54:54
Stockholm,2023-03-17 19:05:13,Turku,2023-03-18 05:32:04
Turku,2023-03-18 06:47:23,Mariehamn,2023-03-18 12:08:11
Mariehamn,2023-03-18 12:28:13,Stockholm,2023-03-18 17:49:08
Stockholm,2023-03-18 19:04:18,Turku,2023-03-19 05:36:11
Turku,2023-03-19 06:46:20,Mariehamn,2023-03-19 12:12:14
Mariehamn,2023-03-19 12:32:14,Stockholm,2023-03-19 17:53:06
Stockholm,2023-03-19 19:03:15,Turku,2023-03-20 05:35:10
Turku,2023-03-20 06:45:19,Mariehamn,2023-03-20 12:11:28
Mariehamn,2023-03-20 12:31:18,Stockholm,2023-03-20 17:52:33
Stockholm,2023-03-20 19:02:42,Turku,2023-03-21 05:39:40
Turku,2023-03-21 06:44:46,Mariehamn,2023-03-21 12:15:51
Mariehamn,2023-03-21 12:30:49,Stockholm,2023-03-21 17:51:39
Stockholm,2023-03-21 19:11:50,Turku,2023-03-22 05:38:33
Turku,2023-03-22 06:43:51,Mariehamn,2023-03-22 12:09:38
Mariehamn,2023-03-22 12:29:35,Stockholm,2023-03-22 17:55:26
Stockholm,2023-03-22 19:00:36,Turku,2023-03-23 05:32:33
Turku,2023-03-23 06:42:42,Mariehamn,2023-03-23 12:18:54
Mariehamn,2023-03-23 12:37:42,Stockholm,2023-03-23 18:00:33
Stockholm,2023-03-23 19:10:43,Turku,2023-03-24 05:37:35
Turku,2023-03-24 06:42:47,Mariehamn,2023-03-24 12:13:49
Mariehamn,2023-03-24 12:28:49,Stockholm,2023-03-24 17:54:55
Stockholm,2023-03-24 19:00:04,Turku,2023-03-25 05:36:57
Turku,2023-03-25 06:42:08,Mariehamn,2023-03-25 12:13:00
Mariehamn,2023-03-25 12:27:41,Stockholm,2023-03-25 17:54:11
Stockholm,2023-03-25 18:54:22,Turku,2023-03-26 04:56:01
Turku,2023-03-26 05:51:18,Mariehamn,2023-03-26 11:22:08
